"Date","Price","Open","High","Low","Vol.","Change %"
"12/02/2014","4,932.89","4,932.89","4,932.89","4,932.89","","1.32%"
"12/01/2014","4,868.64","4,868.64","4,868.64","4,868.64","","2.08%"
"11/30/2014","4,769.42","4,769.42","4,769.42","4,769.42","","-0.07%"
"11/27/2014","4,772.55","4,772.55","4,772.55","4,772.55","","0.34%"
"11/26/2014","4,756.61","4,756.61","4,756.61","4,756.61","","-1.00%"
"11/25/2014","4,804.45","4,804.45","4,804.45","4,804.45","","0.75%"
"11/24/2014","4,768.90","4,768.90","4,768.90","4,768.90","","-1.43%"
"11/23/2014","4,838.11","4,838.11","4,838.11","4,838.11","","-1.26%"
"11/20/2014","4,899.60","4,899.60","4,899.60","4,899.60","","-0.54%"
"11/19/2014","4,926.23","4,926.23","4,926.23","4,926.23","","0.56%"
"11/18/2014","4,898.82","4,898.82","4,898.82","4,898.82","","-0.38%"
"11/17/2014","4,917.42","4,917.42","4,917.42","4,917.42","","-0.94%"
"11/16/2014","4,963.89","4,963.89","4,963.89","4,963.89","","-0.41%"
"11/13/2014","4,984.46","4,984.46","4,984.46","4,984.46","","-0.42%"
"11/12/2014","5,005.65","5,005.65","5,005.65","5,005.65","","1.44%"
"11/11/2014","4,934.78","4,934.78","4,934.78","4,934.78","","0.41%"
"11/10/2014","4,914.71","4,914.71","4,914.71","4,914.71","","-0.48%"
"11/09/2014","4,938.65","4,938.65","4,938.65","4,938.65","","-1.72%"
"11/06/2014","5,025.10","5,025.10","5,025.10","5,025.10","","0.16%"
"11/05/2014","5,017.22","5,017.22","5,017.22","5,017.22","","-0.95%"
"11/03/2014","5,065.14","5,065.14","5,065.14","5,065.14","","-0.79%"
"11/02/2014","5,105.22","5,105.22","5,105.22","5,105.22","","-1.31%"
"10/30/2014","5,173.23","5,173.23","5,173.23","5,173.23","","1.25%"
"10/29/2014","5,109.42","5,109.42","5,109.42","5,109.42","","-0.38%"
"10/28/2014","5,128.84","5,128.84","5,128.84","5,128.84","","-0.55%"
"10/27/2014","5,157.24","5,157.24","5,157.24","5,157.24","","0.89%"
"10/26/2014","5,111.63","5,111.63","5,111.63","5,111.63","","-0.82%"
"10/23/2014","5,154.10","5,154.10","5,154.10","5,154.10","","-0.31%"
"10/22/2014","5,170.15","5,170.15","5,170.15","5,170.15","","-1.22%"
"10/21/2014","5,233.82","5,233.82","5,233.82","5,233.82","","1.74%"
"10/20/2014","5,144.50","5,144.50","5,144.50","5,144.50","","-0.62%"
"10/19/2014","5,176.75","5,176.75","5,176.75","5,176.75","","-2.06%"
"10/16/2014","5,285.83","5,285.83","5,285.83","5,285.83","","-0.55%"
"10/15/2014","5,315.11","5,315.11","5,315.11","5,315.11","","0.43%"
"10/14/2014","5,292.60","5,292.60","5,292.60","5,292.60","","-0.31%"
"10/13/2014","5,309.24","5,309.24","5,309.24","5,309.24","","-0.46%"
"10/12/2014","5,334.03","5,334.03","5,334.03","5,334.03","","1.84%"
"10/02/2014","5,237.72","5,237.72","5,237.72","5,237.72","","1.64%"
"10/01/2014","5,153.26","5,153.26","5,153.26","5,153.26","","1.56%"
"09/30/2014","5,074.30","5,074.30","5,074.30","5,074.30","","0.47%"
"09/29/2014","5,050.34","5,050.34","5,050.34","5,050.34","","-0.43%"
"09/28/2014","5,072.20","5,072.20","5,072.20","5,072.20","","0.90%"
"09/25/2014","5,026.92","5,026.92","5,026.92","5,026.92","","0.95%"
"09/24/2014","4,979.72","4,979.72","4,979.72","4,979.72","","0.25%"
"09/23/2014","4,967.11","4,967.11","4,967.11","4,967.11","","0.86%"
"09/22/2014","4,924.52","4,924.52","4,924.52","4,924.52","","0.23%"
"09/21/2014","4,913.24","4,913.24","4,913.24","4,913.24","","0.97%"
"09/18/2014","4,866.19","4,866.19","4,866.19","4,866.19","","1.41%"
"09/17/2014","4,798.39","4,798.39","4,798.39","4,798.39","","0.82%"
"09/16/2014","4,759.39","4,759.39","4,759.39","4,759.39","","1.05%"
"09/15/2014","4,709.91","4,709.91","4,709.91","4,709.91","","-0.08%"
"09/14/2014","4,713.58","4,713.58","4,713.58","4,713.58","","0.81%"
"09/11/2014","4,675.91","4,675.91","4,675.91","4,675.91","","0.27%"
"09/10/2014","4,663.13","4,663.13","4,663.13","4,663.13","","0.34%"
"09/09/2014","4,647.43","4,647.43","4,647.43","4,647.43","","0.83%"
"09/08/2014","4,608.95","4,608.95","4,608.95","4,608.95","","-0.70%"
"09/07/2014","4,641.45","4,641.45","4,641.45","4,641.45","","-0.02%"
"09/04/2014","4,642.37","4,642.37","4,642.37","4,642.37","","0.21%"
"09/03/2014","4,632.46","4,632.46","4,632.46","4,632.46","","0.65%"
"09/02/2014","4,602.43","4,602.43","4,602.43","4,602.43","","1.04%"
"09/01/2014","4,554.97","4,554.97","4,554.97","4,554.97","","0.12%"
